title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
Newly Built 3 Bedroom Bungalow,155000000,sale,Gwarinpa,Gwarinpa,Efab Verizon Estate Gwarinpa Abuja,3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NPXY,30-Sep-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-efab-verizon-estate-gwarinpa-abuja-9NPXY
3 Bedroom Semi Detached Duplex With Bq,270000000,sale,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3NDSC,29-Jun-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-news-engineering-dawaki-gwarinpa-abuja-3NDSC
3 Bedroom Apartment,102199875,sale,Lugbe,Lugbe,"Airport Road, Lugbe Abuja",3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PFKA,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-airport-road-lugbe-abuja-2PFKA
4 Bedroom Bungalow,170000000,sale,Lugbe,Lugbe,Fort Royal Estate Lugbe Abuja,4,4,5,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PJBD,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-fort-royal-estate-lugbe-abuja-4PJBD
2 Bedroom Apartment,36508320,sale,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PFKE,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-sale-airport-road-before-centenary-city-lugbe-abuja-6PFKE
1 Bedroom Apartment,52080376,sale,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",1,1,2,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PFKF,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-house-for-sale-airport-road-before-centenary-city-lugbe-abuja-0PFKF
4 Bedroom Fully Detached Duplex || Distress Sale,130000000,sale,Lugbe,Lugbe,Back Of Glory Dome Lugbe Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PLKK,18-Apr-26,27-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-back-of-glory-dome-lugbe-abuja-2PLKK
Newly Built & Distress 4 Bedroom Duplex,55000000,sale,Lugbe,Lugbe,"Opposite River Park Estate, By Nut Hq Airport Road Abuja Sabon Lugbe Lugbe Abuja",4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PMHP,27-Apr-26,27-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opposite-river-park-estate-by-nut-hq-airport-road-abuja-sabon-lugbe-lugbe-abuja-7PMHP
Newly Built 3 Bedroom With A Bq,200000000,sale,Lugbe,Lugbe,Cluster 3 River Park Estate Lugbe Abuja,3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PMHB,26-Apr-26,26-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-cluster-3-river-park-estate-lugbe-abuja-0PMHB
Newly Built 2 Bedroom Flat,120000000,sale,Lugbe,Lugbe,River Park Estate Lugbe Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NTSD,05-Nov-25,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-river-park-estate-lugbe-abuja-7NTSD
Newly Built 5 Bedroom With A Gate House,250000000,sale,Lugbe,Lugbe,Sally Best Estate Lugbe Abuja,5,5,6,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NFHB,12-Jul-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-sally-best-estate-lugbe-abuja-8NFHB
Newly Built Luxury 7 Bedroom Semi Detached Duplex,1800000000,sale,Jabi,Jabi,Jabi Abuja,7,7,8,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PLWL,22-Apr-26,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-jabi-abuja-6PLWL
Standard 3 Bedroom With A Bq,280000000,sale,Jabi,Jabi,Jabi Abuja,3,4,5,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PLDP,16-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-jabi-abuja-0PLDP
Standard 3 Bedroom Flat,120000000,sale,Jabi,Jabi,"Lakeview Homes, Close To Shoprite Jabi Abuja",3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PJMC,31-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lakeview-homes-close-to-shoprite-jabi-abuja-6PJMC
A Newly Built 4 Bedroom With A Bq,330000000,sale,Jabi,Jabi,Jabi Abuja,4,4,5,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PJRC,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-jabi-abuja-3PJRC
Pre Finished 3 Bedroom Flat,85000000,sale,Jabi,Jabi,Main Jabi Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NRPE,15-Oct-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-main-jabi-abuja-0NRPE
4 Bedroom Terraced Duplex With A Bq,250000000,sale,Jabi,Jabi,By Jabi Airport Road Jabi Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3NBEG,07-Jun-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-by-jabi-airport-road-jabi-abuja-3NBEG
Newly Built 2 Bedroom,75000000,sale,Jabi,Kubwa,In A Very Beautiful Environment Of F01 Kubwa Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PJWN,04-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-in-a-very-beautiful-environment-of-f01-kubwa-abuja-7PJWN
Newly Built 4 Bedroom Terrace Duplex With Bq,370000000,sale,Jabi,Jabi,Jabi Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NYDT,23-Dec-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-jabi-abuja-2NYDT
Newly Built 4 Bedroom,285000000,sale,Jabi,Jabi,By Jabi Lake Jabi Abuja,4,4,5,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NJHF,08-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-by-jabi-lake-jabi-abuja-2NJHF
Newly Built 4 Bedroom Terrace Duplex With Bq,330000000,sale,Jabi,Jabi,Main Jabi Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NSXC,27-Oct-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-main-jabi-abuja-2NSXC
Newly Built 4 Bedroom Flat,200000000,sale,Jabi,Jabi,By The Apostolic Church Jabi Abuja,4,4,5,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NNYW,20-Sep-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-by-the-apostolic-church-jabi-abuja-2NNYW
5 Bedroom Terrace Duplex,400000000,sale,Jabi,Jabi,Jabi District Jabi Abuja,5,5,6,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NLCD,25-Aug-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-jabi-district-jabi-abuja-7NLCD
Newly Built Spacious 3 Bedroom Flat + 1bq,225000000,sale,Jabi,Jabi,Jabi Abuja. Jabi Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PHUA,25-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-jabi-abuja-jabi-abuja-6PHUA
Luxurious 6 Bedroom Detached Duplex With Bq,750000000,sale,Katampe,Katampe,"Katampe Ext Diplomatic Zone, Katampe Extension Katampe Abuja",6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PCQG,09-Feb-26,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-katampe-ext-diplomatic-zone-katampe-extension-katampe-abuja-9PCQG
A Newly Built 5bedroom Fully Detached Duplex,350000000,sale,Katampe,Katampe,Katampe Extension Katampe Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PMCR,24-Apr-26,26-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-katampe-extension-katampe-abuja-7PMCR
Luxurious 7 Bedroom Detached Villa With Bq,1100000000,sale,Katampe,Katampe,"Katampe Extention Diplomatic Zone, Katampe Extension Katampe Abuja",7,7,8,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PBRF,30-Jan-26,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-katampe-extention-diplomatic-zone-katampe-extension-katampe-abuja-7PBRF
4 Bedroom Detached Duplex,550000000,sale,Katampe,Katampe,"Katampe Extention Diplomatic Zone,area For People That Matters Katampe Extension Katampe Abuja",4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PDGM,15-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-katampe-extention-diplomatic-zonearea-for-people-that-matters-katampe-extension-katampe-abuja-1PDGM
Fully Furnished 3 Bedroom,220000000,sale,Katampe,Katampe,Katampe Extension Katampe Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PHKF,21-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-katampe-extension-katampe-abuja-3PHKF
6 Bedroom Semi Detached Duplex,450000000,sale,Katampe,Katampe,Katampe Abuja,6,6,7,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6MXFF,10-May-25,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-katampe-abuja-6MXFF
4 Bedroom Detached Duplex,290000000,sale,Katampe,Katampe,"Ideal Homes Katampe Extension, Katampe Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PEDG,22-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ideal-homes-katampe-extension-katampe-abuja-7PEDG
Newly Built 4 Bedroom Duplex In Katampe Extension,250000000,sale,Katampe,Katampe,Pearls Court Katampe Extension Katampe Extension Katampe Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PKCR,07-Apr-26,22-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-pearls-court-katampe-extension-katampe-extension-katampe-abuja-8PKCR
